Unnamed: 0,회계연도,지역명,자치단체코드,자치단체명,부채,자산_x,지자체 자산대비 부채비율(%),전년도자산,총자산증가율
200,2013,경북,4711000,경북포항시,"182,788,654,993",6764983270285,2.7,6612398604737,2.307553955363356
201,2013,경북,4712000,경북경주시,"330,601,297,090",5768676876305,5.73,5549200328209,3.955102269065782
202,2013,경북,4713000,경북김천시,"87,549,142,735",2921498971087,3.0,2743236469099,6.498255035467258
203,2013,경북,4714000,경북안동시,"80,644,900,300",3749555665910,2.15,3447819317806,8.751512776371593
204,2013,경북,4715000,경북구미시,"204,856,498,766",6135889045274,3.34,5840360662192,5.0601050204848566
205,2013,경북,4716000,경북영주시,"48,433,558,115",2564810233971,1.89,2461339721284,4.2038289876142265
206,2013,경북,4717000,경북영천시,"85,750,848,770",2800730009932,3.06,2694321399948,3.949365876916305
207,2013,경북,4718000,경북상주시,"121,081,948,844",3305845100060,3.66,3198744090611,3.348220627069369
208,2013,경북,4719000,경북문경시,"164,252,653,759",2482580947941,6.62,2389814623162,3.8817372644686334
209,2013,경북,4720000,경북경산시,"80,385,708,407",3491290936409,2.3,3371170861388,3.563155946701064
210,2013,경북,4771000,경북군위군,"22,994,611,047",1166830543789,1.97,1078972993355,8.142701529610335
211,2013,경북,4772000,경북의성군,"24,751,999,994",1895009214168,1.31,1783839350581,6.232055793073057
212,2013,경북,4773000,경북청송군,"15,105,931,514",1355562731141,1.11,1275679680116,6.261999173470889
213,2013,경북,4774000,경북영양군,"12,579,394,036",1339853213693,0.94,1258643158559,6.452190565829323
214,2013,경북,4775000,경북영덕군,"64,533,903,539",1823454227984,3.54,1731496686671,5.310870186520476
215,2013,경북,4776000,경북청도군,"7,076,321,205",1642282049348,0.43,1522251095895,7.885095552020503
216,2013,경북,4777000,경북고령군,"39,721,469,362",1221879416210,3.25,1169226697352,4.503208742773747
217,2013,경북,4778000,경북성주군,"63,882,748,258",1380924446336,4.63,1316558469643,4.8889569416885506
218,2013,경북,4779000,경북칠곡군,"140,199,491,386",1729338623691,8.11,1647659984958,4.9572508574991
219,2013,경북,4780000,경북예천군,"28,648,044,047",1436930563621,1.99,1337730261092,7.4155684007642915
220,2013,경북,4781000,경북봉화군,"6,773,892,023",1480202214095,0.46,1335995129115,10.793982840006816
221,2013,경북,4782000,경북울진군,"26,542,034,061",2254120937690,1.18,2163658880116,4.180975957224369
222,2013,경북,4783000,경북울릉군,"16,898,848,323",339018089500,4.98,322427795826,5.145429112740964
223,2013,경남,4800000,경남본청,"1,259,057,027,181",19701653966634,6.39,19629315730143,0.3685214374534543
224,2013,경남,4811000,경남창원시,"521,425,236,469",16754420484734,3.11,16418436474430,2.046382497062129
225,2013,경남,4813000,경남진주시,"230,953,743,771",5040839532251,4.58,4748033515185,6.166890274248438
226,2013,경남,4815000,경남통영시,"163,187,408,099",2697369523123,6.05,2481983207526,8.677992459574032
227,2013,경남,4816000,경남사천시,"67,065,453,687",2410229878911,2.78,2309239298579,4.3733267658377795
228,2013,경남,4817000,경남김해시,"398,479,886,867",6245215552674,6.38,6049662180602,3.232467635945592
229,2013,경남,4818000,경남밀양시,"15,381,406,592",2502859483411,0.61,2384209960275,4.976471246782087
230,2013,경남,4819000,경남거제시,"103,122,057,936",2901367490152,3.55,2800260395404,3.6106318867325573
231,2013,경남,4820000,경남양산시,"234,875,097,063",3613994845587,6.5,3493929225520,3.4364067591875926
232,2013,경남,4871000,경남의령군,"18,925,949,498",1845920106297,1.03,1780144594673,3.6949533100193186
233,2013,경남,4872000,경남함안군,"18,757,972,987",1614605062452,1.16,1550483289876,4.13559907382995
234,2013,경남,4873000,경남창녕군,"9,763,951,860",1800653337237,0.54,1746934793675,3.075017096029848
235,2013,경남,4874000,경남고성군,"27,287,752,228",1693648150041,1.61,1619125295465,4.602661374306898
236,2013,경남,4875000,경남남해군,"18,266,881,996",1771152744395,1.03,1729925046983,2.3832071501537806
237,2013,경남,4876000,경남하동군,"10,400,405,779",1612624278167,0.64,1530369903580,5.374803463828061
238,2013,경남,4877000,경남산청군,"11,243,473,772",1973383031480,0.57,1918787370818,2.84532103412403
239,2013,경남,4878000,경남함양군,"7,118,220,874",2428744140160,0.29,2108853210855,15.168951905159178
240,2013,경남,4879000,경남거창군,"47,051,114,240",1778839022377,2.65,1754688523328,1.3763410843535562
241,2013,경남,4880000,경남합천군,"7,471,805,302",1901298049291,0.39,1893252317163,0.42496882507749234
242,2013,제주,4900000,제주본청,"1,238,277,763,756",19135076228394,6.47,18296892996715,4.581014010572649
0,2014,서울,1100000,서울본청,"5,844,220,736,623",121838844891644,4.8,121791365014834,0.03898460026637933
1,2014,서울,1111000,서울종로구,"31,206,412,779",3054190547297,1.02,3077926667204,-0.771172366122744
2,2014,서울,1112000,서울중구,"26,866,982,125",2195958164145,1.22,2201531340004,-0.2531499669221095
3,2014,서울,1113000,서울용산구,"22,427,691,779",1855341374339,1.21,1841497990414,0.7517458067867765
4,2014,서울,1114000,서울성동구,"29,166,311,997",1644013759154,1.77,1680295179476,-2.1592289715021593
5,2014,서울,1115000,서울광진구,"29,316,625,290",1873781683467,1.56,1852046905292,1.1735544123043267
